country,year,5-14 years,15-24 years,25-34 years,35-54 years,55-74 years,75+ years,5-14 years_raw,15-24 years_raw,25-34 years_raw,35-54 years_raw,55-74 years_raw,75+ years_raw
Japan,1985,0.45999999999999996,9.46,16.615000000000002,26.71,32.45,64.53999999999999,85,1630,2799,9544,6306,2893
Japan,1986,0.6950000000000001,11.05,18.36,27.83,34.92,68.92,126,1943,2993,10085,7048,3289
Japan,1987,0.39,9.059999999999999,16.82,25.175,33.125,63.074999999999996,69,1634,2686,9184,6926,3164
Japan,1988,0.46499999999999997,8.434999999999999,15.575,23.285,31.060000000000002,63.54,79,1556,2457,8525,6704,3355
Japan,1989,0.385,7.47,14.655,20.375,29.075,59.75,63,1407,2307,7467,6462,3307
Japan,1990,0.295,6.96,13.715,19.14,27.330000000000002,55.745,47,1309,2160,7006,6261,3219
Japan,1991,0.23500000000000001,6.925,13.215,19.125,26.9,50.855000000000004,36,1333,2056,6974,6340,3041
Japan,1992,0.555,7.48,13.45,20.035,27.759999999999998,50.86,84,1436,2134,7267,6710,3125
Japan,1993,0.33999999999999997,7.215,12.84,20.54,26.705,44.41,50,1378,2071,7427,6603,2824
Japan,1994,0.525,8.525,14.045,20.145,26.085,45.150000000000006,76,1610,2301,7285,6570,2902
Japan,1995,0.47,8.36,14.145,20.765,26.515,43.81,66,1538,2359,7491,6855,2940
Japan,1996,0.47,8.379999999999999,13.985,21.455,27.755000000000003,42.195,64,1510,2388,7669,7383,2953
Japan,1997,0.395,8.43,14.920000000000002,22.715,29.33,42.900000000000006,53,1479,2611,8029,8005,3103
Japan,1998,0.715,12.120000000000001,19.575,30.7,40.47,49.72,94,2065,3512,10769,11273,3745
Japan,1999,0.575,11.905,19.82,30.64,39.095,47.415,73,1966,3631,10653,11117,3675
Japan,2000,0.585,11.355,18.97,29.12,38.33,40.9,74,1804,3481,10195,11020,3415
Japan,2001,0.495,10.795,18.134999999999998,28.775,36.67,38.71,61,1668,3401,10061,10560,3381
Japan,2002,0.30000000000000004,10.54,18.495,30.159999999999997,36.8,36.625,37,1592,3449,10389,10875,3373
Japan,2003,0.54,11.66,21.814999999999998,32.980000000000004,37.81,34.9,65,1714,4042,11175,11509,3376
Japan,2004,0.41000000000000003,12.655000000000001,20.575,30.315,34.614999999999995,34.555,49,1812,3765,10101,10836,3471
Japan,2005,0.38,13.645,22.475,30.814999999999998,33.525,32.605000000000004,45,1886,4002,10187,10791,3458
Japan,2006,0.645,13.94,21.91,29.224999999999998,33.075,32.325,77,1892,3800,9629,10787,3584
Japan,2007,0.395,13.85,21.869999999999997,30.005,34.335,33.925,47,1848,3680,9902,11292,3896
Japan,2008,0.505,15.28,23.68,28.865000000000002,32.665,31.665,59,1995,3854,9581,10779,3805
Japan,2009,0.47,15.09,23.700000000000003,30.259999999999998,32.695,31.13,55,1931,3742,10127,10803,3865
Japan,2010,0.55,14.62,22.935,28.619999999999997,30.975,30.04,63,1823,3551,9755,10345,3874
Japan,2011,0.65,15.635,23.439999999999998,27.955,29.240000000000002,29.285,74,1920,3516,9573,9741,3942
Japan,2012,0.665,14.675,21.740000000000002,25.135,26.47,28.165,75,1789,3175,8655,8770,3874
Japan,2013,0.825,14.11,21.305,24.84,25.765,28.735,92,1709,3028,8575,8512,4075
Japan,2014,0.9299999999999999,13.375,21.25,22.8,24.155,26.595,102,1612,2945,7868,7989,3841
Japan,2015,0.8250000000000001,12.495000000000001,19.369999999999997,21.725,22.785000000000004,25.82,90,1499,2633,7531,7533,3806
Republic of Korea,1985,0.39,11.25,12.25,13.605,17.14,18.689999999999998,33,974,883,1165,554,80
