country,gdp_per_capita ($),suicides/100k pop,year
WORLD,6091.229166666667,11.826197916666661,1985
WORLD,7126.104166666667,11.423333333333336,1986
WORLD,8712.592592592593,11.64421296296296,1987
WORLD,9983.857142857143,12.709404761904759,1988
WORLD,9725.038461538461,12.879070512820507,1989
WORLD,9806.328125,12.862955729166666,1990
WORLD,10132.9375,13.438880208333336,1991
WORLD,10506.707692307693,13.498564102564115,1992
WORLD,10553.584615384616,13.833705128205123,1993
WORLD,11567.10294117647,14.07327205882353,1994
WORLD,12669.346153846154,15.662670940170946,1995
WORLD,12554.90909090909,15.305422077922088,1996
WORLD,12336.142857142857,14.954361471861489,1997
WORLD,12137.898734177215,14.926919831223637,1998
WORLD,12832.192771084337,14.532038152610449,1999
WORLD,12466.546511627907,13.94132751937986,2000
WORLD,12005.579545454546,13.519138257575767,2001
WORLD,12613.779069767443,13.786550387596913,2002
WORLD,14716.186046511628,13.20501937984495,2003
WORLD,17753.904761904763,12.481944444444451,2004
WORLD,20155.964285714286,12.068442460317463,2005
WORLD,21140.964705882354,11.927460784313718,2006
WORLD,23943.43023255814,12.025339147286827,2007
WORLD,26408.04705882353,11.907686274509805,2008
WORLD,22607.91011235955,11.400786516853934,2009
WORLD,23857.19318181818,11.215899621212124,2010
WORLD,26100.918604651164,11.015348837209324,2011
WORLD,26808.95061728395,11.42171810699588,2012
WORLD,28032.675,11.107958333333325,2013
WORLD,27420.141025641027,11.011463675213678,2014
WORLD,26231.1935483871,11.094072580645154,2015
WORLD,25665.125,13.421187500000007,2016
Albania,796.0,2.6541666666666663,1987
Albania,769.0,2.705,1988
Albania,833.0,2.783333333333333,1989
Albania,251.0,1.5000000000000002,1992
Albania,437.0,2.7133333333333334,1993
Albania,697.0,2.681666666666667,1994
Albania,835.0,3.379166666666667,1995
Albania,1127.0,3.635,1996
Albania,793.0,6.452500000000001,1997
Albania,899.0,5.543333333333333,1998
Albania,1127.0,5.8175,1999
Albania,1299.0,2.558333333333333,2000
Albania,1451.0,4.218333333333333,2001
Albania,1573.0,5.209166666666667,2002
Albania,2021.0,4.883333333333334,2003
Albania,2544.0,5.449166666666667,2004
Albania,2931.0,0.0,2005
Albania,3235.0,0.0,2006
Albania,3863.0,5.4875,2007
Albania,4672.0,5.920833333333334,2008
Albania,4387.0,0.0,2009
Albania,4359.0,3.4716666666666662,2010
Antigua and Barbuda,3850.0,0.0,1985
Antigua and Barbuda,4740.0,0.0,1986
Antigua and Barbuda,5595.0,0.0,1987
Antigua and Barbuda,6693.0,0.0,1988
Antigua and Barbuda,7407.0,0.0,1989
Antigua and Barbuda,7744.0,1.4366666666666665,1990
Antigua and Barbuda,7976.0,0.0,1991
Antigua and Barbuda,8087.0,0.0,1992
Antigua and Barbuda,8453.0,1.25,1993
Antigua and Barbuda,9062.0,0.0,1994
Antigua and Barbuda,8636.0,0.0,1995
Antigua and Barbuda,10078.0,0.0,1998
Antigua and Barbuda,10378.0,0.0,1999
Antigua and Barbuda,11021.0,3.330833333333333,2000
Antigua and Barbuda,10468.0,1.6208333333333333,2001
Antigua and Barbuda,10499.0,0.0,2002
Antigua and Barbuda,10878.0,2.3183333333333334,2003
Antigua and Barbuda,11535.0,3.0050000000000003,2004
Antigua and Barbuda,12649.0,0.0,2005
Antigua and Barbuda,14114.0,0.0,2006
Antigua and Barbuda,15775.0,0.665,2007
Antigua and Barbuda,16238.0,0.0,2008
Antigua and Barbuda,14335.0,0.0,2009
Antigua and Barbuda,13657.0,0.0,2012
Antigua and Barbuda,13287.0,0.0,2013
Antigua and Barbuda,14093.0,0.0,2014
Antigua and Barbuda,14853.0,1.3016666666666665,2015
Argentina,3264.0,11.205833333333336,1985
Argentina,4072.0,12.741666666666669,1986
Argentina,4026.0,12.081666666666665,1987
Argentina,4458.0,12.186666666666667,1988
Argentina,2670.0,11.5775,1989
Argentina,4859.0,11.241666666666665,1990
Argentina,6404.0,9.936666666666666,1991
Argentina,7615.0,10.571666666666669,1992
Argentina,7768.0,11.230833333333335,1993
Argentina,8328.0,10.170833333333333,1994
Argentina,8232.0,9.9975,1995
Argentina,8563.0,9.835833333333333,1996
Argentina,9057.0,9.283333333333331,1997
Argentina,9126.0,9.744166666666665,1998
Argentina,8546.0,9.765833333333333,1999
Argentina,8462.0,10.949166666666665,2000
Argentina,7900.0,11.963333333333331,2001
Argentina,2840.0,11.618333333333332,2002
Argentina,3668.0,12.190833333333332,2003
Argentina,4683.0,10.921666666666665,2004
Argentina,5590.0,10.681666666666667,2005
Argentina,6475.0,10.684999999999997,2006
Argentina,7918.0,9.862500000000002,2007
Argentina,9843.0,9.8425,2008
Argentina,8961.0,8.943333333333333,2009
Argentina,11273.0,9.270000000000001,2010
Argentina,13946.0,8.822499999999998,2011
Argentina,14203.0,9.984999999999998,2012
Argentina,14206.0,8.618333333333334,2013
Argentina,13400.0,9.279166666666667,2014
Argentina,14981.0,9.344166666666668,2015
Armenia,756.0,3.4266666666666663,1990
Armenia,640.0,3.822500000000001,1991
Armenia,385.0,3.4050000000000007,1992
Armenia,357.0,4.254166666666667,1993
Armenia,387.0,5.560833333333334,1994
Armenia,426.0,4.315833333333333,1995
Armenia,458.0,3.0875000000000004,1996
Armenia,465.0,2.685833333333333,1997
Armenia,532.0,2.2849999999999997,1998
Armenia,515.0,2.0566666666666666,1999
Armenia,530.0,2.858333333333334,2000
Armenia,587.0,2.481666666666667,2001
